"","Observation ID","Dolphin ID","Observation Date","Platform","Dolphin ID Certainty","Observation Start Time","Behavior State","Dolphin ID Participation Certainty","id_date","Birth Date","Sex","Weaning Date","Adult Date","Age_Class","Bowride","Depth","depth_class","Age at Observation","age_increment","num_surveys","times_on_bow","prop_on_bow","Dolphin Name","Mother ID","Survey_Length","Survey_Year","First Five Activity","Group Size","mat_prop_on_bow","pregnant","mature","cycling","lactating","biopsy_day"
"1",15164,"AAR",2005-08-11,"GENE MACHINE","HIGH",15:14:00,NA,NA,"AAR 2005-08-11",2003-11-01,NA,2007-11-01,2013-11-01,"calf","0",6.3,"(6,9]",1.77686516084873,"(0.25,4]",3,1,0.333333333333333,"AARHUS","DMK",16,2005,"FORAGE",9,0.0416666666666667,NA,NA,NA,NA,0
"2",20356,"AAR",2015-04-30,"POMBOO","HIGH",09:40:00,NA,NA,"AAR 2015-04-30",2003-11-01,NA,2007-11-01,2013-11-01,"adult","0",11.1,"(9,12]",11.4934976043806,"(10,25]",3,1,0.333333333333333,"AARHUS","DMK",44,2015,"SOCIAL",24,0.0416666666666667,NA,NA,NA,NA,0
"3",21723,"AAR",2016-06-19,"MAZIWA","HIGH",15:12:00,"BOW-BOWRIDING",NA,"AAR 2016-06-19",2003-11-01,NA,2007-11-01,2013-11-01,"adult","1",7.6,"(6,9]",12.6324435318275,"(10,25]",3,1,0.333333333333333,"AARHUS","DMK",48,2016,"REST",40,0.0416666666666667,NA,NA,NA,NA,0
"4",18717,"ABA",2012-10-29,"POMBOO","HIGH",15:24:00,NA,NA,"ABA 2012-10-29",2010-11-01,"FEMALE",2014-08-07,2020-11-01,"calf","0",2.9,"(0,3]",1.99315537303217,"(0.25,4]",10,0,0,"ABALONE","WHL",9,2012,NA,2,0.0344827586206897,0,0,0,0,0
"5",19192,"ABA",2013-10-03,"MAZIWA","HIGH",08:06:00,NA,NA,"ABA 2013-10-03",2010-11-01,"FEMALE",2014-08-07,2020-11-01,"calf","0",7.8,"(6,9]",2.92128678986995,"(0.25,4]",10,0,0,"ABALONE","WHL",23,2013,NA,3,0.0344827586206897,0,0,0,0,0
"6",19412,"ABA",2013-11-10,"POMBOO","HIGH",10:12:00,NA,NA,"ABA 2013-11-10",2010-11-01,"FEMALE",2014-08-07,2020-11-01,"calf","0",6.9,"(6,9]",3.02532511978097,"(0.25,4]",10,0,0,"ABALONE","WHL",11,2013,"TRAVEL",7,0.0344827586206897,0,0,0,0,1
"7",19466,"ABA",2013-11-15,"POMBOO","HIGH",13:30:00,NA,NA,"ABA 2013-11-15",2010-11-01,"FEMALE",2014-08-07,2020-11-01,"calf","0",9.8,"(9,12]",3.03901437371663,"(0.25,4]",10,0,0,"ABALONE","WHL",6,2013,NA,4,0.0344827586206897,0,0,0,0,1
"8",21228,"ABA",2015-09-09,"POMBOO","HIGH",16:13:00,NA,NA,"ABA 2015-09-09",2010-11-01,"FEMALE",2014-08-07,2020-11-01,"juvenile","0",8.4,"(6,9]",4.85420944558522,"(4,10]",10,0,0,"ABALONE","WHL",9,2015,"FORAGE",1,0.0344827586206897,0,0,0,0,1
"9",21259,"ABA",2015-09-17,"POMBOO","HIGH",14:36:00,NA,NA,"ABA 2015-09-17",2010-11-01,"FEMALE",2014-08-07,2020-11-01,"juvenile","0",4.4,"(3,6]",4.87611225188227,"(4,10]",10,0,0,"ABALONE","WHL",27,2015,NA,4,0.0344827586206897,0,0,0,0,1
"10",25688,"ABA",2019-06-25,"POMBOO","HIGH",11:47:00,NA,NA,"ABA 2019-06-25",2010-11-01,"FEMALE",2014-08-07,2020-11-01,"juvenile","0",5.3,"(3,6]",8.64613278576318,"(4,10]",10,0,0,"ABALONE","WHL",34,2019,"TRAVEL",7,0.0344827586206897,0,0,0,0,1
