"","Observation ID","Observation Date","Platform","Depth","depth_class","Survey_Length","First Five Activity","Group Size","biopsy_day","Bowride_in_survey"
"48959",11856,2003-03-06,"MAZIWA",8.5,"(6,9]",40,"FORAGE",5,0,1
"48964",11857,2003-03-06,"MAZIWA",9.6,"(9,12]",18,"REST",16,0,1
"48991",11859,2003-03-06,"MAZIWA",NA,NA,5,"UNKNOWN",4,0,0
"48995",11860,2003-03-06,"MAZIWA",7.6,"(6,9]",7,"TRAVEL",1,0,0
"49021",11871,2003-03-07,"MAZIWA",6.7,"(6,9]",11,"REST",2,0,0
"49023",11872,2003-03-07,"MAZIWA",7,"(6,9]",17,"REST",2,0,0
"49025",11873,2003-03-07,"MAZIWA",4.6,"(3,6]",29,"TRAVEL",4,0,0
"49038",11876,2003-03-07,"MAZIWA",6.7,"(6,9]",13,"FORAGE",1,0,0
"49073",11879,2003-03-08,"MAZIWA",4.9,"(3,6]",6,"REST",2,0,0
"49075",11880,2003-03-08,"MAZIWA",5.5,"(3,6]",16,"REST",3,0,0
"49078",11881,2003-03-08,"MAZIWA",5.8,"(3,6]",5,"FORAGE",1,0,0
"49089",11884,2003-03-08,"MAZIWA",6,"(3,6]",18,"FORAGE",1,0,0
"49091",11886,2003-03-08,"MAZIWA",9.1,"(9,12]",34,"FORAGE",1,0,0
"49109",11889,2003-03-08,"MAZIWA",7.9,"(6,9]",6,"FORAGE",1,0,0
"49110",11890,2003-03-08,"MAZIWA",7,"(6,9]",10,"TRAVEL",1,0,0
"49112",11892,2003-03-08,"MAZIWA",6,"(3,6]",19,"REST",10,0,0
"49122",11893,2003-03-08,"MAZIWA",9.6,"(9,12]",21,"REST",7,0,1
"49149",11897,2003-03-08,"MAZIWA",9.5,"(9,12]",32,"TRAVEL",1,0,1
"49153",11899,2003-03-08,"MAZIWA",9.1,"(9,12]",9,"REST",5,0,0
"49162",11902,2003-03-08,"MAZIWA",9.6,"(9,12]",15,"FORAGE",2,0,0
"49268",11932,2003-03-14,"MAZIWA",6.7,"(6,9]",7,"REST",2,0,0
"49278",11936,2003-03-14,"MAZIWA",10.1,"(9,12]",30,"FORAGE",2,0,0
"49290",11941,2003-03-14,"MAZIWA",7.6,"(6,9]",29,"FORAGE",2,0,0
"49366",11956,2003-03-20,"MAZIWA",6,"(3,6]",12,"FORAGE",2,0,0
"49368",11957,2003-03-20,"MAZIWA",3.4,"(3,6]",16,"FORAGE",1,0,0
"49378",11961,2003-03-20,"MAZIWA",3.7,"(3,6]",21,"FORAGE",1,0,0
"49381",11963,2003-03-20,"MAZIWA",7,"(6,9]",32,"UNKNOWN",5,0,0
"49389",11966,2003-03-20,"MAZIWA",7.3,"(6,9]",11,"REST",3,0,0
"49405",11976,2003-03-21,"MAZIWA",2.7,"(0,3]",9,"REST",6,0,0
"49424",11983,2003-03-22,"MAZIWA",6.4,"(6,9]",15,"FORAGE",1,0,1
"49439",11986,2003-03-22,"MAZIWA",5.2,"(3,6]",36,"OTHER",9,0,1
"49450",11988,2003-03-22,"MAZIWA",7.6,"(6,9]",22,"TRAVEL",2,0,1
"49454",11990,2003-03-22,"MAZIWA",7,"(6,9]",12,"REST",2,0,1
"49462",11992,2003-03-22,"MAZIWA",4.9,"(3,6]",9,"FORAGE",5,0,0
"49500",12001,2003-03-28,"MAZIWA",4.6,"(3,6]",21,"REST",8,0,0
"49508",12002,2003-03-28,"MAZIWA",2.9,"(0,3]",5,"FORAGE",2,0,0
"49510",12003,2003-03-28,"MAZIWA",7.9,"(6,9]",11,"TRAVEL",1,0,0
"49600",12028,2003-03-31,"MAZIWA",1.8,"(0,3]",14,"SOCIAL",5,0,1
"49605",12029,2003-04-02,"MAZIWA",7.3,"(6,9]",21,"TRAVEL",8,0,1
"49613",12030,2003-04-02,"MAZIWA",6.7,"(6,9]",12,"FORAGE",1,0,0
"49616",12032,2003-04-04,"MAZIWA",7.9,"(6,9]",23,"TRAVEL",1,0,0
"49617",12033,2003-04-04,"MAZIWA",7.9,"(6,9]",5,"FORAGE",1,0,0
"49618",12034,2003-04-04,"MAZIWA",7.6,"(6,9]",17,"UNKNOWN",2,0,0
"49644",12043,2003-04-04,"MAZIWA",9.1,"(9,12]",29,"UNKNOWN",14,0,1
"49664",12046,2003-04-05,"MAZIWA",6.7,"(6,9]",9,"REST",2,0,0
"49666",12047,2003-04-05,"MAZIWA",6.7,"(6,9]",10,"FORAGE",2,0,0
"49670",12049,2003-04-05,"MAZIWA",6.7,"(6,9]",10,"FORAGE",2,0,1
"49685",12057,2003-04-05,"MAZIWA",6.4,"(6,9]",13,"TRAVEL",2,0,0
"49691",12060,2003-04-08,"MAZIWA",4,"(3,6]",6,"FORAGE",1,0,0
"49692",12061,2003-04-08,"MAZIWA",4.6,"(3,6]",11,"TRAVEL",3,0,0
"49697",12063,2003-04-08,"MAZIWA",5.5,"(3,6]",5,"FORAGE",1,0,0
"49698",12064,2003-04-08,"MAZIWA",7,"(6,9]",7,"FORAGE",1,0,1
"49699",12065,2003-04-08,"MAZIWA",9.6,"(9,12]",25,"FORAGE",4,0,0
"49707",12068,2003-04-08,"MAZIWA",8.5,"(6,9]",6,"REST",2,0,0
"49725",12074,2003-04-13,"MAZIWA",6.7,"(6,9]",6,"FORAGE",1,0,1
"49726",12075,2003-04-13,"MAZIWA",6.7,"(6,9]",5,"FORAGE",1,0,0
"49728",12077,2003-04-13,"MAZIWA",4.9,"(3,6]",7,"FORAGE",2,0,1
"49753",12089,2003-04-13,"MAZIWA",7.3,"(6,9]",5,"REST",1,0,0
"49757",12092,2003-04-15,"MAZIWA",8.2,"(6,9]",5,"TRAVEL",1,0,1
"49758",12093,2003-04-15,"MAZIWA",8.2,"(6,9]",15,"FORAGE",1,0,0
"49762",12095,2003-04-15,"MAZIWA",8.8,"(6,9]",16,"TRAVEL",2,0,1
"49769",12097,2003-04-15,"MAZIWA",4.3,"(3,6]",35,"FORAGE",2,0,0
"49772",12099,2003-04-15,"MAZIWA",9.1,"(9,12]",33,"TRAVEL",3,0,0
"49816",12110,2003-04-16,"MAZIWA",6.4,"(6,9]",13,"FORAGE",1,0,0
"49819",12112,2003-04-16,"MAZIWA",7.3,"(6,9]",6,"FORAGE",1,0,1
"49822",12114,2003-04-16,"MAZIWA",7.3,"(6,9]",28,"REST",5,0,0
"49852",12124,2003-04-16,"MAZIWA",2.7,"(0,3]",9,"OTHER",2,0,1
"49854",12125,2003-04-16,"MAZIWA",9.5,"(9,12]",5,"UNKNOWN",4,0,0
"49874",12130,2003-04-16,"MAZIWA",7.9,"(6,9]",13,"FORAGE",1,0,0
"49879",12132,2003-04-16,"MAZIWA",4.3,"(3,6]",18,"FORAGE",4,0,1
"49910",12141,2003-04-16,"MAZIWA",9.5,"(9,12]",12,"FORAGE",4,0,1
"49927",12145,2003-04-19,"MAZIWA",1.2,"(0,3]",9,"TRAVEL",3,0,1
"49933",12147,2003-04-19,"MAZIWA",7.3,"(6,9]",7,"FORAGE",1,0,1
"49934",12148,2003-04-19,"MAZIWA",10.1,"(9,12]",15,"FORAGE",1,0,0
"49935",12149,2003-04-19,"MAZIWA",10.7,"(9,12]",19,"TRAVEL",3,0,1
"49944",12152,2003-04-20,"MAZIWA",6.7,"(6,9]",19,"FORAGE",1,0,0
"49945",12154,2003-04-20,"MAZIWA",6.7,"(6,9]",7,"FORAGE",1,0,1
"49956",12158,2003-04-20,"MAZIWA",7,"(6,9]",18,"FORAGE",2,0,1
"49973",12162,2003-04-20,"MAZIWA",8.2,"(6,9]",6,"UNKNOWN",1,0,0
"49976",12164,2003-04-20,"MAZIWA",8.2,"(6,9]",36,"REST",5,0,1
"49984",12166,2003-04-20,"MAZIWA",10.7,"(9,12]",10,"FORAGE",1,0,0
"49985",12167,2003-04-20,"MAZIWA",9.1,"(9,12]",30,"REST",2,0,0
"50006",12171,2003-04-21,"MAZIWA",1.5,"(0,3]",12,"TRAVEL",2,0,1
"50031",12177,2003-04-22,"MAZIWA",7,"(6,9]",5,"REST",1,0,0
"50038",12179,2003-04-22,"MAZIWA",4.3,"(3,6]",21,"SOCIAL",9,0,1
"50051",12181,2003-04-22,"MAZIWA",7.9,"(6,9]",19,"TRAVEL",9,0,0
"50133",12193,2003-04-23,"MAZIWA",2.7,"(0,3]",6,"FORAGE",2,0,0
