"","Observation ID","Observation Date","Platform","Depth","depth_class","Survey_Length","First Five Activity","Group Size","biopsy_day","Bowride_in_survey"
"48935",11855,2003-03-05,"MAZIWA",7.3,"(6,9]",29,"REST",5,0,0
"48942",11856,2003-03-06,"MAZIWA",8.5,"(6,9]",40,"FORAGE",5,0,1
"48947",11857,2003-03-06,"MAZIWA",9.6,"(9,12]",18,"REST",8,0,1
"48962",11858,2003-03-06,"MAZIWA",9.5,"(9,12]",11,"REST",6,0,0
"48974",11859,2003-03-06,"MAZIWA",NA,NA,5,"UNKNOWN",4,0,0
"48978",11860,2003-03-06,"MAZIWA",7.6,"(6,9]",7,"TRAVEL",1,0,0
"48983",11863,2003-03-07,"MAZIWA",4.6,"(3,6]",12,"FORAGE",2,0,0
"49004",11871,2003-03-07,"MAZIWA",6.7,"(6,9]",11,"REST",2,0,0
"49006",11872,2003-03-07,"MAZIWA",7,"(6,9]",17,"REST",2,0,0
"49008",11873,2003-03-07,"MAZIWA",4.6,"(3,6]",29,"TRAVEL",4,0,0
"49012",11874,2003-03-07,"MAZIWA",10.7,"(9,12]",5,"FORAGE",1,0,0
"49021",11876,2003-03-07,"MAZIWA",6.7,"(6,9]",13,"FORAGE",1,0,0
"49041",11878,2003-03-07,"MAZIWA",7.3,"(6,9]",14,"SOCIAL",15,0,1
"49056",11879,2003-03-08,"MAZIWA",4.9,"(3,6]",6,"REST",2,0,0
"49058",11880,2003-03-08,"MAZIWA",5.5,"(3,6]",16,"REST",3,0,0
"49061",11881,2003-03-08,"MAZIWA",5.8,"(3,6]",5,"FORAGE",1,0,0
"49062",11882,2003-03-08,"MAZIWA",2,"(0,3]",13,"REST",6,0,0
"49072",11884,2003-03-08,"MAZIWA",6,"(3,6]",18,"FORAGE",1,0,0
"49074",11886,2003-03-08,"MAZIWA",9.1,"(9,12]",34,"FORAGE",1,0,0
"49092",11889,2003-03-08,"MAZIWA",7.9,"(6,9]",6,"FORAGE",1,0,0
"49093",11890,2003-03-08,"MAZIWA",7,"(6,9]",10,"TRAVEL",1,0,0
"49095",11892,2003-03-08,"MAZIWA",6,"(3,6]",19,"REST",10,0,0
"49105",11893,2003-03-08,"MAZIWA",9.6,"(9,12]",21,"REST",7,0,1
"49132",11897,2003-03-08,"MAZIWA",9.5,"(9,12]",32,"TRAVEL",1,0,1
"49136",11899,2003-03-08,"MAZIWA",9.1,"(9,12]",9,"REST",5,0,0
"49145",11902,2003-03-08,"MAZIWA",9.6,"(9,12]",15,"FORAGE",2,0,0
"49251",11932,2003-03-14,"MAZIWA",6.7,"(6,9]",7,"REST",2,0,0
"49255",11934,2003-03-14,"MAZIWA",5.5,"(3,6]",9,"FORAGE",4,0,1
"49261",11936,2003-03-14,"MAZIWA",10.1,"(9,12]",30,"FORAGE",2,0,0
"49273",11941,2003-03-14,"MAZIWA",7.6,"(6,9]",29,"FORAGE",1,0,0
"49349",11956,2003-03-20,"MAZIWA",6,"(3,6]",12,"FORAGE",1,0,0
"49351",11957,2003-03-20,"MAZIWA",3.4,"(3,6]",16,"FORAGE",1,0,0
"49361",11961,2003-03-20,"MAZIWA",3.7,"(3,6]",21,"FORAGE",1,0,0
"49364",11963,2003-03-20,"MAZIWA",7,"(6,9]",32,"UNKNOWN",2,0,0
"49372",11966,2003-03-20,"MAZIWA",7.3,"(6,9]",11,"REST",3,0,0
"49388",11976,2003-03-21,"MAZIWA",2.7,"(0,3]",9,"REST",6,0,0
"49407",11983,2003-03-22,"MAZIWA",6.4,"(6,9]",15,"FORAGE",1,0,1
"49422",11986,2003-03-22,"MAZIWA",5.2,"(3,6]",36,"OTHER",9,0,1
"49433",11988,2003-03-22,"MAZIWA",7.6,"(6,9]",22,"TRAVEL",1,0,1
"49437",11990,2003-03-22,"MAZIWA",7,"(6,9]",12,"REST",2,0,1
"49445",11992,2003-03-22,"MAZIWA",4.9,"(3,6]",9,"FORAGE",4,0,0
"49450",11993,2003-03-22,"MAZIWA",4.3,"(3,6]",9,"TRAVEL",4,0,0
"49457",11995,2003-03-22,"MAZIWA",7.3,"(6,9]",18,"REST",6,0,0
"49472",11998,2003-03-27,"MAZIWA",5.2,"(3,6]",35,"REST",7,0,0
"49483",12001,2003-03-28,"MAZIWA",4.6,"(3,6]",21,"REST",8,0,0
"49491",12002,2003-03-28,"MAZIWA",2.9,"(0,3]",5,"FORAGE",2,0,0
"49493",12003,2003-03-28,"MAZIWA",7.9,"(6,9]",11,"TRAVEL",1,0,0
"49504",12005,2003-03-28,"MAZIWA",7.9,"(6,9]",5,"FORAGE",2,0,0
"49510",12008,2003-03-28,"MAZIWA",6.7,"(6,9]",17,"REST",3,0,0
"49523",12012,2003-03-29,"MAZIWA",4,"(3,6]",7,"REST",2,0,1
"49583",12028,2003-03-31,"MAZIWA",1.8,"(0,3]",14,"SOCIAL",5,0,1
"49588",12029,2003-04-02,"MAZIWA",7.3,"(6,9]",21,"TRAVEL",6,0,1
"49596",12030,2003-04-02,"MAZIWA",6.7,"(6,9]",12,"FORAGE",1,0,0
"49599",12032,2003-04-04,"MAZIWA",7.9,"(6,9]",23,"TRAVEL",1,0,0
"49600",12033,2003-04-04,"MAZIWA",7.9,"(6,9]",5,"FORAGE",1,0,0
"49601",12034,2003-04-04,"MAZIWA",7.6,"(6,9]",17,"UNKNOWN",2,0,0
"49627",12043,2003-04-04,"MAZIWA",9.1,"(9,12]",29,"UNKNOWN",14,0,1
"49643",12045,2003-04-04,"MAZIWA",4.9,"(3,6]",11,"REST",4,0,0
"49647",12046,2003-04-05,"MAZIWA",6.7,"(6,9]",9,"REST",2,0,0
"49649",12047,2003-04-05,"MAZIWA",6.7,"(6,9]",10,"FORAGE",2,0,0
"49653",12049,2003-04-05,"MAZIWA",6.7,"(6,9]",10,"FORAGE",2,0,1
"49668",12057,2003-04-05,"MAZIWA",6.4,"(6,9]",13,"TRAVEL",1,0,0
"49670",12058,2003-04-05,"MAZIWA",7.3,"(6,9]",5,"TRAVEL",2,0,0
"49674",12060,2003-04-08,"MAZIWA",4,"(3,6]",6,"FORAGE",1,0,0
"49675",12061,2003-04-08,"MAZIWA",4.6,"(3,6]",11,"TRAVEL",3,0,0
"49680",12063,2003-04-08,"MAZIWA",5.5,"(3,6]",5,"FORAGE",1,0,0
"49681",12064,2003-04-08,"MAZIWA",7,"(6,9]",7,"FORAGE",1,0,1
"49682",12065,2003-04-08,"MAZIWA",9.6,"(9,12]",25,"FORAGE",4,0,0
"49690",12068,2003-04-08,"MAZIWA",8.5,"(6,9]",6,"REST",2,0,0
"49700",12070,2003-04-08,"MAZIWA",7.9,"(6,9]",15,"FORAGE",3,0,0
"49703",12071,2003-04-08,"MAZIWA",10.1,"(9,12]",7,"FORAGE",2,0,0
"49708",12074,2003-04-13,"MAZIWA",6.7,"(6,9]",6,"FORAGE",1,0,1
"49709",12075,2003-04-13,"MAZIWA",6.7,"(6,9]",5,"FORAGE",1,0,0
"49711",12077,2003-04-13,"MAZIWA",4.9,"(3,6]",7,"FORAGE",2,0,1
"49735",12088,2003-04-13,"MAZIWA",7.6,"(6,9]",5,"REST",1,0,0
"49736",12089,2003-04-13,"MAZIWA",7.3,"(6,9]",5,"REST",1,0,0
"49740",12092,2003-04-15,"MAZIWA",8.2,"(6,9]",5,"TRAVEL",1,0,1
"49741",12093,2003-04-15,"MAZIWA",8.2,"(6,9]",15,"FORAGE",1,0,0
"49745",12095,2003-04-15,"MAZIWA",8.8,"(6,9]",16,"TRAVEL",2,0,1
"49752",12097,2003-04-15,"MAZIWA",4.3,"(3,6]",35,"FORAGE",2,0,0
"49755",12099,2003-04-15,"MAZIWA",9.1,"(9,12]",33,"TRAVEL",3,0,0
"49764",12102,2003-04-15,"MAZIWA",9.6,"(9,12]",47,"REST",4,0,1
"49782",12107,2003-04-15,"MAZIWA",9.5,"(9,12]",26,"TRAVEL",NA,0,1
"49787",12108,2003-04-15,"MAZIWA",6.4,"(6,9]",15,"OTHER",4,0,1
"49799",12110,2003-04-16,"MAZIWA",6.4,"(6,9]",13,"FORAGE",1,0,0
"49802",12112,2003-04-16,"MAZIWA",7.3,"(6,9]",6,"FORAGE",1,0,1
"49805",12114,2003-04-16,"MAZIWA",7.3,"(6,9]",28,"REST",3,0,0
"49835",12124,2003-04-16,"MAZIWA",2.7,"(0,3]",9,"OTHER",2,0,1
"49837",12125,2003-04-16,"MAZIWA",9.5,"(9,12]",5,"UNKNOWN",4,0,0
"49857",12130,2003-04-16,"MAZIWA",7.9,"(6,9]",13,"FORAGE",1,0,0
"49862",12132,2003-04-16,"MAZIWA",4.3,"(3,6]",18,"FORAGE",3,0,1
"49872",12136,2003-04-16,"MAZIWA",5.5,"(3,6]",8,"FORAGE",1,0,1
"49878",12138,2003-04-16,"MAZIWA",5.8,"(3,6]",16,"TRAVEL",4,0,1
"49893",12141,2003-04-16,"MAZIWA",9.5,"(9,12]",12,"FORAGE",4,0,1
"49910",12145,2003-04-19,"MAZIWA",1.2,"(0,3]",9,"TRAVEL",3,0,1
"49916",12147,2003-04-19,"MAZIWA",7.3,"(6,9]",7,"FORAGE",1,0,1
"49917",12148,2003-04-19,"MAZIWA",10.1,"(9,12]",15,"FORAGE",1,0,0
"49918",12149,2003-04-19,"MAZIWA",10.7,"(9,12]",19,"TRAVEL",3,0,1
"49927",12152,2003-04-20,"MAZIWA",6.7,"(6,9]",19,"FORAGE",1,0,0
"49928",12154,2003-04-20,"MAZIWA",6.7,"(6,9]",7,"FORAGE",1,0,1
"49939",12158,2003-04-20,"MAZIWA",7,"(6,9]",18,"FORAGE",2,0,1
"49956",12162,2003-04-20,"MAZIWA",8.2,"(6,9]",6,"UNKNOWN",1,0,0
"49959",12164,2003-04-20,"MAZIWA",8.2,"(6,9]",36,"REST",2,0,1
"49967",12166,2003-04-20,"MAZIWA",10.7,"(9,12]",10,"FORAGE",1,0,0
"49968",12167,2003-04-20,"MAZIWA",9.1,"(9,12]",30,"REST",2,0,0
"49989",12171,2003-04-21,"MAZIWA",1.5,"(0,3]",12,"TRAVEL",2,0,1
"50014",12177,2003-04-22,"MAZIWA",7,"(6,9]",5,"REST",1,0,0
"50021",12179,2003-04-22,"MAZIWA",4.3,"(3,6]",21,"SOCIAL",9,0,1
"50034",12181,2003-04-22,"MAZIWA",7.9,"(6,9]",19,"TRAVEL",9,0,0
"50091",12191,2003-04-22,"MAZIWA",6.4,"(6,9]",13,"REST",10,0,1
"50101",12192,2003-04-22,"MAZIWA",8.2,"(6,9]",30,"TRAVEL",14,0,1
"50116",12193,2003-04-23,"MAZIWA",2.7,"(0,3]",6,"FORAGE",2,0,0
"50123",12195,2003-04-23,"MAZIWA",3,"(0,3]",11,"REST",1,0,1
"50127",12198,2003-04-23,"MAZIWA",9.1,"(9,12]",18,"REST",3,0,0
"50131",12199,2003-04-23,"MAZIWA",8.5,"(6,9]",19,"REST",NA,0,0
"50149",12203,2003-04-23,"MAZIWA",6.7,"(6,9]",18,"REST",2,0,0
"50153",12205,2003-04-23,"MAZIWA",1.2,"(0,3]",12,"TRAVEL",2,0,0
"50159",12207,2003-04-23,"MAZIWA",9.5,"(9,12]",14,"REST",2,0,1
"50164",12209,2003-04-23,"MAZIWA",6.4,"(6,9]",5,"FORAGE",NA,0,0
"50172",12211,2003-04-23,"MAZIWA",NA,NA,5,"UNKNOWN",2,0,0
"50176",12214,2003-04-23,"MAZIWA",7.9,"(6,9]",21,"REST",14,0,1
"50214",12219,2003-04-24,"MAZIWA",3.4,"(3,6]",5,"FORAGE",1,0,0
"50220",12222,2003-04-24,"MAZIWA",10.4,"(9,12]",35,"REST",14,0,0
"50238",12224,2003-04-24,"MAZIWA",7.9,"(6,9]",7,"FORAGE",2,0,1
"50242",12226,2003-04-24,"MAZIWA",9.6,"(9,12]",38,"SOCIAL",30,0,0
"50276",12229,2003-04-24,"MAZIWA",7.3,"(6,9]",5,"OTHER",1,0,1
"50277",12230,2003-04-24,"MAZIWA",7.9,"(6,9]",11,"OTHER",1,0,1
"50278",12231,2003-04-24,"MAZIWA",3.7,"(3,6]",16,"REST",9,0,1
"50297",12234,2003-05-01,"MAZIWA",7,"(6,9]",11,"OTHER",2,0,1
